metric,n_boot_valid,mean,std,median,p02_5,p05,p25,p75,p95,p97_5
intercept,5000,1.0980109186051488,0.6654310580052801,1.1291967228599735,0.5238553289091792,0.620939217392773,0.8140309191744345,1.33941318178835,1.5455918367036967,1.621977526709222
slope,5000,4.064314659843392,1.9064429837563517,4.033271589687596,2.223500055265415,2.5340056812596603,3.3474189130299687,4.838248118445936,5.622796178623772,6.00572673973311
r2,5000,0.672376767289401,0.15219175263754006,0.6908310370465509,0.30527548732820237,0.4108758780274482,0.5884254336871143,0.779344052261632,0.8810448379105426,0.9123699360860535
rmse,5000,0.19405914635290197,0.039416042157969566,0.19784111790511394,0.09874148966773061,0.12110441875187637,0.17333008371365638,0.22060034885990032,0.25145096548122337,0.25900162120350195
mae,5000,0.1655275241425959,0.04240390048731953,0.16882804255500938,0.07145803544291565,0.08959615451459313,0.13882890144847024,0.19464044570413866,0.22958183535218432,0.2391170398254182
bias,5000,1.466974689871373e-17,2.9905267275766535e-16,2.4671622769447922e-17,-5.674473236973022e-16,-4.6876083261951055e-16,-1.9737298215558337e-16,2.220446049250313e-16,5.181040781584064e-16,5.921189464667501e-16
pearson_r,5000,0.8119159037403215,0.11476918983910725,0.8311473534356102,0.5519344204259504,0.6400426991532024,0.7668282270193106,0.8827867101052604,0.9384734587730214,0.9549963841165987
spearman_rho,5000,0.6315454691310489,0.23998354305461395,0.6842105263157895,0.008547008547008546,0.17543859649122806,0.5294117647058825,0.791304347826087,0.9449541284403669,0.9816513761467889
