date,year,month,day,year_month,doy,iso_year,iso_week,week_id,image_id,datetime_utc,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,n_obs_same_date,selected_from_duplicates,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,ndvi_evi_diff,ndvi_savi_diff,flag_low_valid_pixel_pct,flag_high_scene_cloudiness
2025-01-12,2025,1,12,2025-01,12,2025,2,2025-W02,20250112T152651_20250112T152928_T18NXL,2025-01-12 15:31:38,2.314446,98.8325855184621,True,2,True,0.5520802283301408,0.6149061153769584,0.2750135861293731,0.4041523966372369,0.4044415246627506,0.2312541834383144,0.3619776931391283,0.3732859064071626,0.2052005252083275,0.412565829660201,0.4411256525612198,0.2233775550908463,0.1479278316929039,0.1901025351910125,False,False
2025-01-22,2025,1,22,2025-01,22,2025,4,2025-W04,20250122T152721_20250122T152858_T18NXL,2025-01-22 15:32:10,1.27407,98.8325855184621,True,2,True,0.5435313996489128,0.5904904203252249,0.2735451228984243,0.4017024790229425,0.3814840988000383,0.2353568535959428,0.3636597989271121,0.3569408973961961,0.2088109177898496,0.377436099029435,0.3949237029329898,0.2068419819560931,0.14182892062597036,0.17987160072180075,False,False
2025-02-01,2025,2,1,2025-02,32,2025,5,2025-W05,20250201T152721_20250201T152824_T18NXL,2025-02-01 15:32:08,22.856489,60.194431866518485,True,2,True,0.2876191865154154,0.2465829910074654,0.1883415711275227,0.2019876412227565,0.1778594951202119,0.1427826383450322,0.1529297616197086,0.1271328294980744,0.1131178042103673,0.1973874227951644,0.1778990260721867,0.1554059296760659,0.0856315452926589,0.13468942489570682,False,False
2025-04-02,2025,4,2,2025-04,92,2025,14,2025-W14,20250402T152721_20250402T153142_T18NWL,2025-04-02 15:32:08,51.080668,98.8325855184621,True,1,False,0.4809491781179614,0.5276617811648386,0.2847748920618447,0.3944725814955985,0.3869478504185845,0.2618463696223381,0.3214043588245216,0.3143925653902879,0.212330402973056,0.314938933939103,0.3324625580605587,0.2099876128097704,0.0864765966223629,0.15954481929343978,False,True
2025-04-12,2025,4,12,2025-04,102,2025,15,2025-W15,20250412T152711_20250412T152718_T18NWL,2025-04-12 15:32:07,33.342022,31.54324290948009,True,2,True,0.4333659677093073,0.4339279640952563,0.2989574119326945,0.1918644036073452,0.1546261032259501,0.1722821112368134,0.1734007084119031,0.122564815586642,0.1538198769127708,0.3033168501956582,0.3009020941082426,0.2510115388681249,0.2415015641019621,0.2599652592974042,True,False
2025-07-23,2025,7,23,2025-07,204,2025,30,2025-W30,20250723T152941_20250723T152940_T18NWL,2025-07-23 15:32:04,59.912223,98.8325855184621,True,1,False,0.3880661115285396,0.4121064765877892,0.1953029167356581,0.367843378276875,0.3653959789329823,0.1951602383053048,0.2743700341084027,0.2757462469514848,0.1493172656600572,0.2739575607621867,0.279253480863285,0.1521644821252206,0.02022273325166457,0.11369607742013688,False,True
2025-07-31,2025,7,31,2025-07,212,2025,31,2025-W31,20250731T152711_20250731T152713_T18NXL,2025-07-31 15:32:02,62.48796,86.12974931050094,True,2,True,0.5182299531465145,0.5740173111609218,0.2732050533280142,0.4321201852866444,0.4258417090899057,0.2600600728418228,0.3717106176043467,0.3807059622390853,0.2219199581396469,0.3372219075624669,0.3550883926438803,0.1976404736988932,0.08610976785987012,0.14651933554216784,False,True
2025-08-20,2025,8,20,2025-08,232,2025,34,2025-W34,20250820T152711_20250820T152849_T18NXL,2025-08-20 15:32:01,61.24866,98.8325855184621,True,2,True,0.5333904653725057,0.5972335369926802,0.2886833929512957,0.4189991829340305,0.4103973826107463,0.2552577422314706,0.3650563771031698,0.3657250208415837,0.2201445823225901,0.3526595492139874,0.3793103880477582,0.2127734820062706,0.11439128243847518,0.16833408826933588,False,True
2025-08-30,2025,8,30,2025-08,242,2025,35,2025-W35,20250830T152711_20250830T152711_T18NWL,2025-08-30 15:32:03,46.928525,98.8325855184621,True,2,True,0.4841697489277772,0.5297062954027393,0.2592232128275711,0.4327865799775884,0.4334070231232479,0.2540952295365466,0.3558338650016632,0.3652760526966217,0.2103805566656389,0.3191742741528691,0.331803996051868,0.1925451573733371,0.051383168950188796,0.128335883926114,False,False
2025-09-11,2025,9,11,2025-09,254,2025,37,2025-W37,20250911T152701_20250911T152856_T18NWL,2025-09-11 15:31:57,55.154347,49.90285267360968,True,1,False,0.5566008022441822,0.6079527035889939,0.2253482560771812,0.5358145518879986,0.5548467369823024,0.2602381968489958,0.4267025767437696,0.4512851753882889,0.1972348569426899,0.412323320341461,0.4313157832919054,0.1830012335572014,0.020786250356183533,0.12989822550041258,True,True
2025-09-21,2025,9,21,2025-09,264,2025,38,2025-W38,20250921T152941_20250921T152936_T18NXL,2025-09-21 15:31:56,45.051137,51.31148890626931,True,2,True,0.5068136517415097,0.5365521771897573,0.2267035391372009,0.3753693764448468,0.3275789508866873,0.2127630579025392,0.3135081479438417,0.3028959682799473,0.1555417865419636,0.3633052712058734,0.3850429563998062,0.1798434909798509,0.13144427529666292,0.19330550379766803,False,False
2025-11-18,2025,11,18,2025-11,322,2025,47,2025-W47,20251118T152701_20251118T152839_T18NWL,2025-11-18 15:31:54,56.108177,98.8325855184621,True,2,True,0.3344628041606456,0.3222137021866567,0.174096464451907,0.3571785547094519,0.3322043878923792,0.1928214831873236,0.2437025944992426,0.2280365439404056,0.1288278404292097,0.2311062304054665,0.2244881262526783,0.131485771125281,-0.022715750548806313,0.09076020966140302,False,True
2025-11-30,2025,11,30,2025-11,334,2025,48,2025-W48,20251130T152711_20251130T152709_T18NWL,2025-11-30 15:32:02,70.485145,44.88673005941354,True,2,True,0.4842534686373186,0.4786150700171219,0.20706865156865,0.4257052626537563,0.4159565203342399,0.1923315914012783,0.3426779097646272,0.3301089952856396,0.1618355393431036,0.3573242763444256,0.3497663572536379,0.1640153961481717,0.05854820598356231,0.1415755588726914,True,True
2025-12-08,2025,12,8,2025-12,342,2025,50,2025-W50,20251208T152701_20251208T152837_T18NWL,2025-12-08 15:31:53,26.714849,58.30980117729388,True,2,True,0.391508025958952,0.3885204549194175,0.1786014920257431,0.3153479154329123,0.2953680678132407,0.1554373034501092,0.2496477674825738,0.2322968155606682,0.1251054357223827,0.2531699659120527,0.2439134974118088,0.1247437006465375,0.07616011052603971,0.1418602584763782,False,False
2025-12-18,2025,12,18,2025-12,352,2025,51,2025-W51,20251218T152701_20251218T152837_T18NWL,2025-12-18 15:31:52,58.380443,92.0093579769206,True,2,True,0.3467534095858315,0.3381218957211683,0.1766226043420122,0.2685498620067851,0.2358366164519905,0.1629162689497567,0.2141612811411734,0.1892792002168835,0.1285759697311898,0.2250747348582453,0.2050604281188304,0.1422113150298984,0.0782035475790464,0.13259212844465812,False,True
2025-12-28,2025,12,28,2025-12,362,2025,52,2025-W52,20251228T152701_20251228T152837_T18NWL,2025-12-28 15:31:52,27.237046,98.8325855184621,True,2,True,0.5608229997836471,0.6381181634916964,0.2854050603271282,0.3893920756791056,0.3832611342915971,0.2272068080258402,0.3594794464322255,0.3652524712044385,0.2065106653511487,0.3815939689236697,0.4188181811815811,0.2116853044943945,0.17143092410454153,0.20134355335142162,False,False
2026-01-17,2026,1,17,2026-01,17,2026,3,2026-W03,20260117T152651_20260117T152830_T18NXL,2026-01-17 15:31:42,24.488612,60.2627643079625,True,2,True,0.5935873981778033,0.6541150480058442,0.2320717453884767,0.476987911766753,0.472651731218436,0.2495720838956679,0.4057482311281587,0.4120518881589654,0.2044666617416849,0.4113365878737501,0.4321019311565287,0.1741204108771754,0.11659948641105028,0.18783916704964454,False,False
2026-02-06,2026,2,6,2026-02,37,2026,6,2026-W06,20260206T152651_20260206T152653_T18NXL,2026-02-06 15:31:41,46.990368,97.16626188614002,True,1,False,0.3368580027025346,0.3025174930359415,0.1905742619991829,0.3352994921074952,0.3046485930564396,0.1880970424382195,0.2327600031849674,0.2050705123924483,0.1323444650345674,0.2246894811110738,0.205367657648869,0.1383388573791343,0.001558510595039364,0.10409799951756718,False,False
2026-02-11,2026,2,11,2026-02,42,2026,7,2026-W07,20260211T152649_20260211T152645_T18NXL,2026-02-11 15:31:35,36.658069,61.86349977359734,True,2,True,0.3685139467611716,0.3967908909878583,0.217517974253441,0.3545568509492858,0.3301924875764305,0.2396446107049773,0.2484914940923858,0.2329402833495544,0.1641650390858947,0.2795043822340176,0.3023041378377794,0.1817481481899191,0.013957095811885811,0.1200224526687858,False,False
2026-02-26,2026,2,26,2026-02,57,2026,9,2026-W09,20260226T152651_20260226T153009_T18NWL,2026-02-26 15:31:46,16.610695,98.8325855184621,True,2,True,0.5159280373544891,0.5564866399769729,0.2721625681168831,0.3393845420123159,0.3217784583831479,0.2011192983822952,0.3134766144397815,0.3108215691720987,0.1835424375459713,0.3399753112379637,0.3474993950754485,0.2034252034955577,0.17654349534217323,0.20245142291470763,False,False
2026-03-13,2026,3,13,2026-03,72,2026,11,2026-W11,20260313T152649_20260313T153138_T18NXL,2026-03-13 15:31:44,69.373488,98.64679811742752,True,1,False,0.5021771259631548,0.5488872950149574,0.2658663631107261,0.3847477159684597,0.3654314799282874,0.2271013778539813,0.3250995720472565,0.322710464812173,0.1898384135411945,0.350104565788666,0.3635037264356291,0.2057934503507047,0.11742940999469509,0.1770775539158983,False,True
