date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,candidate_rank
2025-01-12,2025-01-12 15:31:38,20250112T152651_20250112T152928_T18NXL,2.314446,98.8325855184621,True,0.5520802283301408,0.6149061153769584,0.2750135861293731,0.4041523966372369,0.4044415246627506,0.2312541834383144,0.3619776931391283,0.3732859064071626,0.2052005252083275,0.412565829660201,0.4411256525612198,0.2233775550908463,1
2025-01-12,2025-01-12 15:31:42,20250112T152651_20250112T152928_T18NWL,21.256167,98.8325855184621,True,0.5677917169386217,0.6384265661820718,0.2850515288015994,0.4043965218329252,0.404273236026048,0.2332231679327649,0.3730337439509901,0.3849423610349508,0.2132112788188522,0.4217167751701391,0.4563842018961525,0.2302795312756164,2
2025-01-17,2025-01-17 15:31:43,20250117T152649_20250117T152912_T18NWL,30.41189,5.962622977812539,False,0.3344165208401498,0.3071612258366046,0.2016846091311478,0.2240116724203106,0.1898654668019283,0.1514915212102713,0.1940107491555676,0.1669987867502847,0.1285672003500257,0.2318654603331502,0.2101612226721952,0.1589876164809313,1
2025-01-17,2025-01-17 15:31:40,20250117T152649_20250117T152912_T18NXL,25.512761,4.0631732049012745,False,0.34132712197098,0.3210874357090374,0.2017020772483911,0.2166143830033126,0.1893223588111697,0.1546902833030289,0.1863623523257013,0.1666889568555237,0.1295173867879023,0.2478918555701164,0.221025436648458,0.1673875510468256,2
2025-01-22,2025-01-22 15:32:10,20250122T152721_20250122T152858_T18NXL,1.27407,98.8325855184621,True,0.5435313996489128,0.5904904203252249,0.2735451228984243,0.4017024790229425,0.3814840988000383,0.2353568535959428,0.3636597989271121,0.3569408973961961,0.2088109177898496,0.377436099029435,0.3949237029329898,0.2068419819560931,1
2025-01-22,2025-01-22 15:32:13,20250122T152721_20250122T152858_T18NWL,17.416033,98.8325855184621,True,0.5561155179512672,0.6061009224138715,0.2825972081300463,0.3977700525984892,0.3770483142873232,0.2354185207182943,0.3708245359741079,0.3648091483075517,0.2149749136186847,0.3839214937201918,0.4026144523431357,0.2125355190705406,2
2025-02-01,2025-02-01 15:32:08,20250201T152721_20250201T152824_T18NXL,22.856489,60.194431866518485,True,0.2876191865154154,0.2465829910074654,0.1883415711275227,0.2019876412227565,0.1778594951202119,0.1427826383450322,0.1529297616197086,0.1271328294980744,0.1131178042103673,0.1973874227951644,0.1778990260721867,0.1554059296760659,1
2025-02-01,2025-02-01 15:32:12,20250201T152721_20250201T152824_T18NWL,39.913553,51.24233318239823,True,0.2447646547877858,0.2013050331818232,0.1710308350578333,0.2076541953960745,0.1738221562532526,0.1498791534387382,0.1511036298009799,0.1192146210216456,0.1212919946419747,0.1666605450275943,0.1466345825584142,0.1345217557065495,2
2025-03-23,2025-03-23 15:32:10,20250323T152721_20250323T153204_T18NXL,67.83216,0.0,False,,,,,,,,,,,,,1
2025-03-23,2025-03-23 15:32:03,20250323T152721_20250323T152715_T18NXL,73.501068,0.0,False,,,,,,,,,,,,,2
2025-03-25,2025-03-25 15:31:54,20250325T152931_20250325T152930_T18NWL,61.255312,2.825779717065273,False,0.1316948955852824,0.1359764395103071,0.1037958884943623,0.151674138784158,0.1426316176236072,0.1149981936953819,0.0812817033489051,0.0895890410958904,0.0582786383702478,0.0896508806053574,0.1007347712728134,0.1153189649626368,1
2025-03-25,2025-03-25 15:31:50,20250325T152931_20250325T152930_T18NXL,26.178518,1.5760369928237217,False,0.1617750759143807,0.1787592008412197,0.1519978605336825,0.1577824661054698,0.1393104943625326,0.1540080882586009,0.0830451501878403,0.1053115961083355,0.0755789536344171,0.0996927023069376,0.1416122004357299,0.1590577513641695,2
2025-04-12,2025-04-12 15:32:07,20250412T152711_20250412T152718_T18NWL,33.342022,31.54324290948009,True,0.4333659677093073,0.4339279640952563,0.2989574119326945,0.1918644036073452,0.1546261032259501,0.1722821112368134,0.1734007084119031,0.122564815586642,0.1538198769127708,0.3033168501956582,0.3009020941082426,0.2510115388681249,1
2025-04-12,2025-04-12 15:32:03,20250412T152711_20250412T152718_T18NXL,31.469396,1.2730690596742544,False,0.7854752791345229,0.7916861279775804,0.0399006597039033,0.4343789787534691,0.4319101123595505,0.0757610827465793,0.3918957093742732,0.3922448979591836,0.0600035355049315,0.5875345482076942,0.5910898965791567,0.0553487180082741,2
2025-04-14,2025-04-14 15:31:58,20250414T152931_20250414T152934_T18NWL,33.295801,0.0,False,,,,,,,,,,,,,1
2025-04-14,2025-04-14 15:31:54,20250414T152931_20250414T152934_T18NXL,49.373963,0.0,False,,,,,,,,,,,,,2
2025-04-27,2025-04-27 15:31:46,20250427T152659_20250427T152754_T18NWL,61.118883,0.0,False,,,,,,,,,,,,,1
2025-04-27,2025-04-27 15:31:42,20250427T152659_20250427T152754_T18NXL,76.420647,0.0,False,,,,,,,,,,,,,2
2025-06-13,2025-06-13 15:31:59,20250613T152941_20250613T152935_T18NWL,69.246024,0.0,False,,,,,,,,,,,,,1
2025-06-13,2025-06-13 15:31:56,20250613T152941_20250613T152935_T18NXL,74.717927,0.0,False,,,,,,,,,,,,,2
2025-07-31,2025-07-31 15:32:02,20250731T152711_20250731T152713_T18NXL,62.48796,86.12974931050094,True,0.5182299531465145,0.5740173111609218,0.2732050533280142,0.4321201852866444,0.4258417090899057,0.2600600728418228,0.3717106176043467,0.3807059622390853,0.2219199581396469,0.3372219075624669,0.3550883926438803,0.1976404736988932,1
2025-07-31,2025-07-31 15:32:06,20250731T152711_20250731T152713_T18NWL,41.5245,81.15547688634584,True,0.5152858691123312,0.5739833415806318,0.2668057367378743,0.4362821764212674,0.4341597586267889,0.25404556239347,0.371258794111671,0.3886733127039964,0.2149256522507943,0.3383503434147901,0.3556875629268715,0.1939164597222147,2
2025-08-05,2025-08-05 15:31:42,20250805T152659_20250805T152653_T18NXL,37.29845,0.0,False,,,,,,,,,,,,,1
2025-08-05,2025-08-05 15:31:46,20250805T152659_20250805T152653_T18NWL,49.813166,0.0,False,,,,,,,,,,,,,2
2025-08-20,2025-08-20 15:32:01,20250820T152711_20250820T152849_T18NXL,61.24866,98.8325855184621,True,0.5333904653725057,0.5972335369926802,0.2886833929512957,0.4189991829340305,0.4103973826107463,0.2552577422314706,0.3650563771031698,0.3657250208415837,0.2201445823225901,0.3526595492139874,0.3793103880477582,0.2127734820062706,1
2025-08-20,2025-08-20 15:32:04,20250820T152711_20250820T152849_T18NWL,26.000294,93.78586424072776,True,0.5153622877838062,0.5746447908470174,0.280878442027677,0.4148247115924133,0.4104790664246466,0.2511202509064628,0.3559963673419515,0.3576159270668713,0.2142184795346003,0.3428059493646334,0.3633394116026156,0.2090140985834046,2
2025-08-22,2025-08-22 15:31:59,20250822T152711_20250822T152706_T18NWL,60.908741,0.0,False,,,,,,,,,,,,,1
2025-08-22,2025-08-22 15:31:55,20250822T152711_20250822T152706_T18NXL,67.134255,0.0,False,,,,,,,,,,,,,2
2025-08-30,2025-08-30 15:32:03,20250830T152711_20250830T152711_T18NWL,46.928525,98.8325855184621,True,0.4841697489277772,0.5297062954027393,0.2592232128275711,0.4327865799775884,0.4334070231232479,0.2540952295365466,0.3558338650016632,0.3652760526966217,0.2103805566656389,0.3191742741528691,0.331803996051868,0.1925451573733371,1
2025-08-30,2025-08-30 15:32:00,20250830T152711_20250830T152711_T18NXL,54.006654,98.8325855184621,True,0.4777247359682862,0.5211481473666053,0.253995492561446,0.4354025601156422,0.4328042242126502,0.2536117826851184,0.3518850885278873,0.3615523333868087,0.2064845489193993,0.3153035168442577,0.3250217187344904,0.1894076676979544,2
