metric,value
n_station_days,158.0
n_landsat_days,18.0
n_merged_days,158.0
n_days_with_satellite_obs,4.0
n_analysis_ready_days,4.0
mean_et_analysis,2.2225
mean_temp_analysis,15.287267344700673
mean_vpd_analysis,0.4744112849620246
mean_lst_c_analysis,29.12450152123844
median_lst_c_analysis,29.194302985276067
mean_lst_minus_ta_analysis,13.837234176537772
mean_valid_pixel_pct_analysis,93.48927696078428
