week_id,date_start,date_end,n_valid_days,et_base_out_mm_week,et_base_out_mm_d_mean,temp_out_mean_week,rh_out_mean_week,rad_out_mean_week,vpd_out_mean_week
2025-W31,2025-08-01,2025-08-01,1,0.92,0.92,17.22845188284519,69.31380753138075,36.50255230125524,0.7417573221757322
2025-W32,2025-08-05,2025-08-09,5,6.5,1.3,14.058962570302333,76.26073028107393,82.90537559146321,0.45595960066123664
2025-W33,2025-08-13,2025-08-17,5,10.03,2.006,14.657544208868893,69.48198240266824,115.76567131701708,0.5388771630551155
2025-W34,2025-08-18,2025-08-24,7,15.739999999999998,2.248571428571428,15.29923482677244,67.91948388625273,146.87922307732268,0.6176242303381511
2025-W35,2025-08-25,2025-08-31,7,15.219999999999999,2.174285714285714,14.747848438594929,68.27796455003536,138.48710586960024,0.5666404289750364
2025-W36,2025-09-01,2025-09-05,5,10.55,2.1100000000000003,14.70915753301399,70.59205808322264,141.75045749469473,0.530203882879496
2025-W37,2025-09-08,2025-09-14,5,10.42,2.084,15.07471957037165,66.75196420545919,130.70985358630864,0.6076420848003965
2025-W38,2025-09-15,2025-09-15,1,2.27,2.27,15.31587982832618,69.17596566523605,173.09836909871242,0.567167381974249
2025-W39,2025-09-24,2025-09-28,5,12.09,2.418,15.589169676014853,64.20527787086914,150.32394794985598,0.6827630551763786
2025-W40,2025-09-29,2025-10-05,7,13.32,1.9028571428571428,15.049105679067731,69.8345503714169,107.90156586331072,0.5597490842964001
2025-W41,2025-10-06,2025-10-12,7,12.49,1.7842857142857143,14.546807598108247,75.42527024784015,101.28591439566854,0.4504413949167194
2025-W42,2025-10-13,2025-10-19,7,13.43,1.9185714285714286,14.338600360149014,74.90790806538855,114.4598678516983,0.4564060532909004
2025-W43,2025-10-20,2025-10-26,7,12.52,1.7885714285714285,14.954718094546099,76.81330426924329,102.46938087358616,0.4456070040635964
2025-W44,2025-10-31,2025-11-02,3,5.62,1.8733333333333333,15.008513054482245,70.30015427448033,102.80693934007797,0.5555752957639992
2025-W45,2025-11-03,2025-11-09,7,13.530000000000001,1.932857142857143,14.981059659166974,74.99178663573942,114.69776441083589,0.4872060492960292
2025-W46,2025-11-10,2025-11-16,7,12.64,1.8057142857142858,15.085908075170414,76.85411042728046,100.95816371625412,0.43475286709204747
2025-W47,2025-11-17,2025-11-23,7,13.57,1.9385714285714286,14.87859897183222,77.38794197817394,115.15604021745659,0.44962896976147876
2025-W48,2025-11-24,2025-11-30,7,14.379999999999999,2.0542857142857143,15.459882067358796,71.27636003786286,113.86765025349811,0.5427137400696181
2025-W49,2025-12-01,2025-12-07,7,13.940000000000001,1.9914285714285715,14.957825325569862,75.94323058295561,114.52343059584825,0.45696707494420624
2025-W50,2025-12-08,2025-12-14,7,13.84,1.977142857142857,14.841035885636929,71.38910033952804,115.4203850965267,0.5401754702584588
2025-W51,2025-12-15,2025-12-20,6,12.14,2.0233333333333334,15.181917824941843,77.17288226144252,119.70223064434167,0.44513545373704577
2025-W52,2025-12-22,2025-12-28,7,16.14,2.3057142857142856,15.349600636720243,72.21551843727018,141.4965408193013,0.5456068113946824
2026-W01,2025-12-29,2026-01-04,7,12.43,1.7757142857142856,15.00725300159445,71.68458216946303,95.88506001316027,0.5305342698672649
2026-W02,2026-01-05,2026-01-11,7,12.34,1.762857142857143,14.571556336585425,78.20797508126563,95.21327210808646,0.4036615869995398
2026-W03,2026-01-12,2026-01-13,2,2.81,1.405,14.813698340628026,76.13615167505216,66.07258245728856,0.4307393545220273
