date,year,month,day,year_month,iso_year,iso_week,week_id,doy,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-05-12,2025,5,12,2025-05,2025,20,2025-W20,132,285,98.95833333333334,True,True,True,True,True,True,True,1.36,1.36,1.26,1.36,-0.1,13.836491228070177,10.3,20.4,10.099999999999998,83.34035087719299,55,94,39,61.99582456140352,667.75,530.06,165.5835789473684,14.16,0.2917894736842105,1.08,18.089729019390585,10.916385964912282,0.02193696123281647,False,False,False,False
2025-06-10,2025,6,10,2025-06,2025,24,2025-W24,161,285,98.95833333333334,True,True,True,True,True,True,True,1.74,1.74,1.71,1.74,-0.03,14.196140350877194,8.2,21.2,13.0,74.43508771929825,50,94,44,100.99161403508772,888.02,863.48,268.432701754386,22.95,0.4776842105263157,1.26,48.242099420129264,9.402666666666669,0.01722915329777251,False,False,False,False
2025-06-11,2025,6,11,2025-06,2025,24,2025-W24,162,280,97.2222222222222,True,True,True,True,True,True,True,1.42,1.42,1.41,1.42,-0.01,13.890357142857145,10.3,20.3,10.0,78.06071428571428,54,92,38,80.31049999999999,509.96,674.61,214.50021428571424,18.02,0.3915357142857142,1.09,31.444428982142846,9.897928571428572,0.01768137416651621,False,False,False,False
2025-06-12,2025,6,12,2025-06,2025,24,2025-W24,163,285,98.95833333333334,True,True,True,True,True,True,True,1.73,1.73,1.69,1.73,-0.04,14.02842105263158,9.3,21.1,11.8,79.48771929824561,51,95,44,101.63733333333332,629.69,869.0,271.4617543859649,23.21,0.3828421052631579,1.19,38.91105066666666,10.27557894736842,0.017021304507530043,False,False,False,False
2025-07-10,2025,7,10,2025-07,2025,28,2025-W28,191,284,98.61111111111111,True,True,True,True,True,True,True,1.91,1.91,1.84,1.91,-0.0699999999999998,14.427464788732394,9.1,20.7,11.6,75.48239436619718,52,92,40,114.56792253521128,1035.44,976.12,298.9986971830986,25.47,0.4558450704225352,1.13,52.225222716226945,9.899471830985917,0.016671333107336227,False,False,False,False
2025-07-11,2025,7,11,2025-07,2025,28,2025-W28,192,285,98.95833333333334,True,True,True,True,True,True,True,2.31,2.31,2.23,2.31,-0.08,14.623508771929824,9.0,23.9,14.899999999999999,77.59298245614035,43,95,52,146.8943859649123,933.05,1255.95,368.0195087719298,31.47,0.4629824561403508,1.65,68.00952360726376,10.317614035087718,0.01572558396174361,False,False,False,False
2025-07-12,2025,7,12,2025-07,2025,28,2025-W28,193,285,98.95833333333334,True,True,True,True,True,True,True,2.27,2.27,2.19,2.27,-0.08,15.032280701754384,10.0,22.7,12.7,73.40350877192982,47,91,44,137.00470175438596,776.76,1171.39,364.77101754385967,31.19,0.508421052631579,1.43,69.65607468144044,10.0779649122807,0.016568774435708956,False,False,False,False
2025-07-30,2025,7,30,2025-07,2025,31,2025-W31,211,44,15.27777777777778,False,False,True,True,True,True,False,2.42,2.42,1.98,2.42,-0.4399999999999999,17.452272727272728,13.0,20.6,7.600000000000001,54.11363636363637,45,69,24,353.03818181818184,1432.37,466.01,793.4502272727273,10.47,0.9288636363636364,1.33,327.92432933884305,7.999318181818182,0.006854782640044084,False,False,True,True
2025-07-31,2025,7,31,2025-07,2025,31,2025-W31,212,82,28.47222222222222,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,15.168292682926827,12.3,22.9,10.599999999999998,73.01219512195122,51,85,34,5.125121951219512,47.08,12.61,13.68878048780488,0.34,0.498170731707317,1.37,2.5531857525282566,10.205731707317073,0.0,False,True,False,False
2025-08-01,2025,8,1,2025-08,2025,31,2025-W31,213,239,82.98611111111111,True,True,True,True,True,True,True,0.92,0.92,0.92,0.92,0.0,17.22845188284519,10.7,28.2,17.5,69.31380753138075,38,94,56,36.50255230125524,208.37,261.72,97.49410041841004,6.99,0.7417573221757322,2.33,27.0760354475587,10.983514644351464,0.025203717055378706,False,False,False,False
