date,year,month,day,year_month,iso_year,iso_week,week_id,doy,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z,datetime_utc,image_id,sensor_label,spacecraft_id,wrs_path,wrs_row,valid_pixel_pct,is_valid_satellite_obs,n_obs_same_date,selected_from_duplicates,selection_rule,LST_C_mean,LST_C_median,LST_C_stdDev,LST_C_mean_minus_median,LST_C_cv_pct,LST_K_mean,LST_K_median,LST_K_stdDev,has_satellite_obs,is_merge_ready,et_base_out_mm_d_w1_mean,et_base_out_mm_d_w1_sum,et_base_out_mm_d_w3_mean,et_base_out_mm_d_w5_mean,et_base_out_mm_d_w7_mean,et_base_out_mm_d_w3_sum,et_base_out_mm_d_w5_sum,et_base_out_mm_d_w7_sum,temp_out_mean_w1_mean,temp_out_mean_w1_sum,temp_out_mean_w3_mean,temp_out_mean_w5_mean,temp_out_mean_w7_mean,rh_out_mean_w1_mean,rh_out_mean_w1_sum,rh_out_mean_w3_mean,rh_out_mean_w5_mean,rh_out_mean_w7_mean,rad_out_mean_w1_mean,rad_out_mean_w1_sum,rad_out_mean_w3_mean,rad_out_mean_w5_mean,rad_out_mean_w7_mean,vpd_out_mean_w1_mean,vpd_out_mean_w1_sum,vpd_out_mean_w3_mean,vpd_out_mean_w5_mean,vpd_out_mean_w7_mean
2025-07-30,2025,7,30,2025-07,2025,31,2025-W31,211,44,15.27777777777778,False,False,True,True,True,True,False,2.42,2.42,1.98,2.42,-0.4399999999999999,17.452272727272728,13.0,20.6,7.600000000000001,54.11363636363637,45,69,24,353.03818181818184,1432.37,466.01,793.4502272727273,10.47,0.9288636363636364,1.33,327.92432933884305,7.999318181818182,0.006854782640044,False,False,True,True,,,,,,,,,,,,,,,,,,,,False,False,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,17.452272727272728,,17.452272727272728,17.452272727272728,17.452272727272728,54.11363636363637,,54.11363636363637,54.11363636363637,54.11363636363637,353.03818181818184,,353.03818181818184,353.03818181818184,353.03818181818184,0.9288636363636364,,0.9288636363636364,0.9288636363636364,0.9288636363636364
2025-07-31,2025,7,31,2025-07,2025,31,2025-W31,212,82,28.47222222222222,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,15.168292682926827,12.3,22.9,10.599999999999998,73.01219512195122,51,85,34,5.125121951219512,47.08,12.61,13.68878048780488,0.34,0.498170731707317,1.37,2.5531857525282566,10.205731707317073,0.0,False,True,False,False,,,,,,,,,,,,,,,,,,,,False,False,0.0,0.0,1.21,1.21,1.21,2.42,2.42,2.42,15.168292682926827,,16.310282705099777,16.310282705099777,16.310282705099777,73.01219512195122,,63.56291574279379,63.56291574279379,63.56291574279379,5.125121951219512,,179.08165188470068,179.08165188470068,179.08165188470068,0.498170731707317,,0.7135171840354767,0.7135171840354767,0.7135171840354767
2025-08-01,2025,8,1,2025-08,2025,31,2025-W31,213,239,82.98611111111111,True,True,True,True,True,True,True,0.92,0.92,0.92,0.92,0.0,17.22845188284519,10.7,28.2,17.5,69.31380753138075,38,94,56,36.50255230125524,208.37,261.72,97.49410041841004,6.99,0.7417573221757322,2.33,27.0760354475587,10.983514644351464,0.0252037170553787,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,0.92,0.92,1.1133333333333333,1.1133333333333333,1.1133333333333333,3.34,3.34,3.34,17.22845188284519,,16.616339097681582,16.616339097681582,16.616339097681582,69.31380753138075,,65.47987967232278,65.47987967232278,65.47987967232278,36.50255230125524,,131.55528535688555,131.55528535688555,131.55528535688555,0.7417573221757322,,0.7229305634155619,0.7229305634155619,0.7229305634155619
2025-08-04,2025,8,4,2025-08,2025,32,2025-W32,216,181,62.84722222222222,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,17.024309392265195,7.8,27.8,20.0,60.29834254143646,36,86,50,41.5414364640884,315.02,225.57,110.95243093922652,6.02,0.913756906077348,2.39,37.95877445743415,8.762044198895028,0.0,False,True,True,False,,,,,,,,,,,,,,,,,,,,False,False,0.0,0.0,0.3066666666666667,0.835,0.835,0.92,3.34,3.34,17.024309392265195,,16.473684652679072,16.718331671327483,16.718331671327483,60.29834254143646,,67.54144839825615,64.1844953896012,64.1844953896012,41.5414364640884,,27.723036905521052,109.05182313368624,109.05182313368624,0.913756906077348,,0.7178949866534658,0.7706371490810084,0.7706371490810084
2025-08-05,2025,8,5,2025-08,2025,32,2025-W32,217,277,96.18055555555556,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,14.444404332129965,5.3,27.6,22.3,64.79783393501805,30,92,62,26.79194945848376,328.9,222.64,71.5581227436823,5.95,0.798014440433213,2.58,21.38036255522684,6.81826714801444,0.0,False,True,False,False,,,,,,,,,,,,,,,,,,,,False,False,0.0,0.0,0.3066666666666667,0.6679999999999999,0.6679999999999999,0.92,3.34,3.34,14.444404332129965,,16.232388535746782,16.263546203487984,16.263546203487984,64.79783393501805,,64.80332800261176,64.30716309868458,64.30716309868458,26.79194945848376,,34.9453127412758,92.59984839864575,92.59984839864575,0.798014440433213,,0.8178428895620978,0.7761126073514493,0.7761126073514493
2025-08-06,2025,8,6,2025-08,2025,32,2025-W32,218,277,96.18055555555556,True,True,True,True,True,True,True,2.1,2.1,2.06,2.1,-0.04,14.813718411552346,8.4,22.2,13.8,70.08664259927798,43,91,48,134.92880866425992,1068.91,1121.26,323.95927797833934,26.92,0.5769675090252707,1.53,77.84953863076541,9.022202166064982,0.0155637630005715,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,2.1,2.1,0.7000000000000001,0.604,0.9066666666666666,2.1,3.02,5.4399999999999995,14.813718411552346,,15.427477378649167,15.735835340343906,16.021908238165377,70.08664259927798,,65.06093969191083,67.5017643458129,65.2704096821168,134.92880866425992,,67.75406486227736,48.97797376786137,99.65467510958145,0.5769675090252707,,0.7629129518452773,0.7057333818837763,0.7429217576304196
2025-08-07,2025,8,7,2025-08,2025,32,2025-W32,219,237,82.29166666666666,True,True,True,True,True,True,True,1.2,1.2,1.14,1.2,-0.06,13.40928270042194,11.4,16.5,5.1,83.12658227848101,69,93,24,59.8901687763713,330.72,425.82,159.95962025316456,11.37,0.2687763713080169,0.58,16.09706224073777,10.547088607594937,0.0200366775468737,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.2,1.2,1.0999999999999999,0.844,0.9485714285714285,3.3,4.22,6.64,13.40928270042194,,14.222468481368082,15.384033343842926,15.648676018487743,83.12658227848101,,72.67035293759236,69.52464177711886,67.82129148159741,59.8901687763713,,73.87030896637167,59.93098313289172,93.9740313476943,0.2687763713080169,,0.5479194402555002,0.6598545098039161,0.6751867024415049
2025-08-08,2025,8,8,2025-08,2025,32,2025-W32,220,270,93.75,True,True,True,True,True,True,True,1.53,1.53,1.51,1.53,-0.02,13.687407407407408,11.3,19.2,7.899999999999999,83.99259259259259,65,94,29,93.57062962962962,923.36,757.92,244.4849259259259,19.8,0.2701111111111111,0.78,25.27446673662551,10.930296296296296,0.0163512846504937,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.53,1.53,1.61,0.966,0.8214285714285714,4.83,4.83,5.75,13.687407407407408,,13.970136173127232,14.67582444875537,15.11083811564984,83.99259259259259,,79.06860582345054,72.46039878936122,72.08971380001972,93.57062962962962,,96.12986902342027,71.34459859856659,56.90723817790111,0.2701111111111111,,0.37195166381479955,0.5655252675909919,0.5810791988340014
2025-08-09,2025,8,9,2025-08,2025,32,2025-W32,221,280,97.2222222222222,True,True,True,True,True,True,True,1.67,1.67,1.65,1.67,-0.02,13.94,11.3,20.2,8.899999999999999,79.3,51,93,42,99.34532142857142,780.76,834.5,265.0353928571429,22.26,0.3659285714285714,1.11,36.35329154846938,10.19675,0.0168100518070266,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,1.67,1.67,1.4666666666666668,1.3,1.06,4.4,6.5,7.42,13.94,,13.678896702609782,14.058962570302333,14.935367732374576,79.3,,82.13972495702454,76.26073028107393,72.98797163974098,99.34532142857142,,84.26870661152411,82.90537559146321,70.36726667466567,0.3659285714285714,,0.30160535128256644,0.45595960066123664,0.5621874616513233
2025-08-10,2025,8,10,2025-08,2025,32,2025-W32,222,188,65.27777777777779,False,False,True,True,True,True,False,2.4,2.4,2.37,2.4,-0.0299999999999998,16.04840425531915,10.9,21.6,10.7,66.78191489361703,45,92,47,230.13478723404253,1196.03,1297.96,575.9377127659574,32.48,0.6635106382978723,1.42,152.69687957220458,9.534734042553191,0.0104286710794367,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,2.4,2.4,1.8666666666666665,1.78,1.2714285714285716,5.6,8.9,8.9,16.04840425531915,,14.55860388757552,14.379762554940168,14.766789499870859,66.78191489361703,,76.69150249540321,76.65754647279373,72.62627269148902,230.13478723404253,,141.01691276408118,123.57394314657498,98.02901452220671,0.6635106382978723,,0.43318344027918493,0.4290588402341685,0.5510093639544862
