date,pct_day_records,is_valid_day_analysis,et_base_out_mm_d,temp_out_mean,rh_out_mean,rad_out_mean,vpd_out_mean,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-01-11,98.95833333333334,True,1.96,14.90280701754386,69.89473684210526,118.82736842105264,0.582140350877193,False,False,False,False
2025-01-12,98.95833333333334,True,2.26,15.807017543859647,72.53684210526316,128.4434385964912,0.5338245614035088,False,False,False,False
2025-02-10,13.541666666666666,False,2.16,13.366666666666664,77.05128205128206,0.0,0.3525641025641026,False,False,False,False
2025-02-11,99.30555555555556,True,2.19,15.624125874125872,67.64335664335664,120.66003496503497,0.6160489510489511,False,False,False,False
2025-02-12,80.90277777777779,True,1.83,15.206437768240344,75.05150214592274,107.47738197424891,0.4763519313304721,False,False,False,False
2025-03-10,97.91666666666666,True,1.89,14.76241134751773,70.60283687943263,106.75574468085108,0.5321631205673759,False,False,False,False
2025-03-11,98.26388888888889,True,1.81,15.268197879858656,75.96466431095406,98.14197879858658,0.4629328621908127,False,False,False,False
2025-03-12,98.95833333333334,True,2.43,15.76736842105263,72.71578947368421,143.16515789473684,0.5365263157894736,False,False,False,False
2025-04-10,97.91666666666666,True,2.21,15.15,67.8936170212766,141.97556737588653,0.6239007092198582,False,False,False,False
2025-04-11,98.26388888888889,True,2.1,15.00106007067138,75.39929328621908,127.4813074204947,0.4724734982332155,False,False,False,False
2025-04-12,98.61111111111111,True,2.06,15.026760563380282,75.0669014084507,121.94017605633805,0.4690140845070422,False,False,False,False
2025-05-10,99.30555555555556,True,2.0,15.004895104895104,67.56293706293707,114.26916083916085,0.5896853146853147,False,False,False,False
2025-05-11,96.18055555555556,True,1.84,14.552707581227436,75.50180505415162,114.11898916967507,0.4726353790613718,False,False,False,False
2025-05-12,98.95833333333334,True,1.36,13.836491228070177,83.34035087719299,61.99582456140352,0.2917894736842105,False,False,False,False
2025-06-10,98.95833333333334,True,1.74,14.196140350877194,74.43508771929825,100.99161403508772,0.4776842105263157,False,False,False,False
2025-06-11,97.2222222222222,True,1.42,13.890357142857145,78.06071428571428,80.31049999999999,0.3915357142857142,False,False,False,False
2025-06-12,98.95833333333334,True,1.73,14.02842105263158,79.48771929824561,101.63733333333332,0.3828421052631579,False,False,False,False
2025-07-10,98.61111111111111,True,1.91,14.427464788732394,75.48239436619718,114.56792253521128,0.4558450704225352,False,False,False,False
2025-07-11,98.95833333333334,True,2.31,14.623508771929824,77.59298245614035,146.8943859649123,0.4629824561403508,False,False,False,False
2025-07-12,98.95833333333334,True,2.27,15.032280701754384,73.40350877192982,137.00470175438596,0.508421052631579,False,False,False,False
2025-07-30,15.27777777777778,False,2.42,17.452272727272728,54.11363636363637,353.03818181818184,0.9288636363636364,False,False,True,True
2025-07-31,28.47222222222222,False,0.0,15.168292682926827,73.01219512195122,5.125121951219512,0.498170731707317,False,True,False,False
2025-08-01,82.98611111111111,True,0.92,17.22845188284519,69.31380753138075,36.50255230125524,0.7417573221757322,False,False,False,False
2025-08-04,62.84722222222222,False,0.0,17.024309392265195,60.29834254143646,41.5414364640884,0.913756906077348,False,True,True,False
