date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev
2025-07-31,2025-07-31 15:32:06,20250731T152711_20250731T152713_T18NWL,41.5245,81.15547688634584,True,0.5152858691123312,0.5739833415806318,0.2668057367378743,0.4362821764212674,0.4341597586267889,0.25404556239347,0.37125879411167106,0.3886733127039964,0.2149256522507943,0.3383503434147901,0.35568756292687154,0.19391645972221477
2025-07-31,2025-07-31 15:32:02,20250731T152711_20250731T152713_T18NXL,62.48796,86.12974931050094,True,0.5182299531465145,0.5740173111609218,0.2732050533280142,0.4321201852866444,0.4258417090899057,0.26006007284182286,0.3717106176043467,0.38070596223908537,0.22191995813964693,0.33722190756246695,0.35508839264388037,0.1976404736988932
2025-08-05,2025-08-05 15:31:46,20250805T152659_20250805T152653_T18NWL,49.813166,0.0,False,,,,,,,,,,,,
2025-08-05,2025-08-05 15:31:42,20250805T152659_20250805T152653_T18NXL,37.29845,0.0,False,,,,,,,,,,,,
2025-08-12,2025-08-12 15:31:58,20250812T152931_20250812T152934_T18NWL,49.002886,0.0,False,,,,,,,,,,,,
2025-08-20,2025-08-20 15:32:04,20250820T152711_20250820T152849_T18NWL,26.000294,93.78586424072776,True,0.5153622877838062,0.5746447908470174,0.28087844202767703,0.41482471159241335,0.41047906642464665,0.25112025090646284,0.35599636734195156,0.3576159270668713,0.2142184795346003,0.3428059493646334,0.3633394116026156,0.20901409858340467
2025-08-20,2025-08-20 15:32:01,20250820T152711_20250820T152849_T18NXL,61.24866,98.8325855184621,True,0.5333904653725057,0.5972335369926802,0.28868339295129575,0.41899918293403055,0.4103973826107463,0.25525774223147063,0.36505637710316985,0.36572502084158376,0.22014458232259015,0.35265954921398746,0.3793103880477582,0.21277348200627066
2025-08-22,2025-08-22 15:31:59,20250822T152711_20250822T152706_T18NWL,60.908741,0.0,False,,,,,,,,,,,,
2025-08-22,2025-08-22 15:31:55,20250822T152711_20250822T152706_T18NXL,67.134255,0.0,False,,,,,,,,,,,,
2025-08-30,2025-08-30 15:32:03,20250830T152711_20250830T152711_T18NWL,46.928525,98.8325855184621,True,0.4841697489277772,0.5297062954027393,0.25922321282757116,0.4327865799775884,0.43340702312324797,0.2540952295365466,0.3558338650016632,0.3652760526966217,0.21038055666563898,0.3191742741528691,0.331803996051868,0.19254515737333713
2025-08-30,2025-08-30 15:32:00,20250830T152711_20250830T152711_T18NXL,54.006654,98.8325855184621,True,0.47772473596828624,0.5211481473666053,0.25399549256144605,0.43540256011564227,0.4328042242126502,0.2536117826851184,0.3518850885278873,0.3615523333868087,0.20648454891939935,0.3153035168442577,0.32502171873449043,0.18940766769795447
2025-09-09,2025-09-09 15:32:00,20250909T152711_20250909T152707_T18NWL,38.369319,0.0,False,,,,,,,,,,,,
2025-09-11,2025-09-11 15:31:57,20250911T152701_20250911T152856_T18NWL,55.154347,49.90285267360968,True,0.5566008022441822,0.6079527035889939,0.2253482560771812,0.5358145518879986,0.5548467369823024,0.2602381968489958,0.42670257674376966,0.45128517538828894,0.1972348569426899,0.412323320341461,0.4313157832919054,0.18300123355720146
2025-09-14,2025-09-14 15:31:43,20250914T152649_20250914T153034_T18NWL,51.237231,0.0,False,,,,,,,,,,,,
2025-09-19,2025-09-19 15:31:54,20250919T152711_20250919T152741_T18NXL,65.534794,0.0,False,,,,,,,,,,,,
2025-09-21,2025-09-21 15:32:00,20250921T152941_20250921T152936_T18NWL,16.341256,29.60084523662509,False,0.4730771755647544,0.4867075959158269,0.22804466907998536,0.40506314848493646,0.38211599172581007,0.2294703277873712,0.3344305153905263,0.3224930280028533,0.17333568259140364,0.3298117937525813,0.32721966811023323,0.1756023458712681
