target,predictor,omitted_index,omitted_date,omitted_x,omitted_y,n_refit,intercept,slope,r2,rmse,mae,bias,pearson_r,spearman_rho,delta_r2_vs_full,delta_pearson_r_vs_full,delta_slope_vs_full,abs_delta_r2_vs_full,abs_delta_pearson_r_vs_full,abs_delta_slope_vs_full
et_base_out_mm_d,SAVI_mean,6,2025-12-18,0.2141612811411734,1.8,7,0.8968576263747556,4.797914744895926,0.7218426395922017,0.18160188578007805,0.15417889488335884,-2.5376526277146434e-16,0.8496132294121846,0.7500000000000002,-0.08805429234717599,-0.05032950873251396,-0.33868866551142496,0.08805429234717599,0.05032950873251396,0.33868866551142496
et_base_out_mm_d,SAVI_mean,1,2025-08-30,0.3558338650016632,2.9,7,0.8347392359893993,4.804529411402863,0.8655622158091778,0.13812347154195795,0.1067120224883551,5.075305255429287e-16,0.9303559618818905,0.9642857142857145,0.055665283869800075,0.030413223737191908,-0.3320739990044874,0.055665283869800075,0.030413223737191908,0.3320739990044874
et_base_out_mm_d,SAVI_mean,0,2025-08-20,0.3650563771031698,2.42,7,0.7037480993267775,5.4619713464875135,0.860095110219208,0.15882782888522065,0.13661883957207763,-3.489272363107635e-16,0.9274131281253288,0.8928571428571429,0.05019817827983031,0.027470389980630228,0.3253679360801627,0.05019817827983031,0.027470389980630228,0.3253679360801627
et_base_out_mm_d,SAVI_mean,2,2025-09-11,0.4267025767437696,2.89,7,0.6750788808619699,5.493603560227505,0.7707188906772618,0.18137445261356117,0.1524713539421821,-2.5376526277146434e-16,0.8779059691545914,0.8571428571428573,-0.03917804126211588,-0.022036768990107203,0.3570001498201538,0.03917804126211588,0.022036768990107203,0.3570001498201538
et_base_out_mm_d,SAVI_mean,4,2025-11-30,0.3426779097646272,2.34,7,0.7584779238199519,5.269908486633985,0.8434494674580291,0.1675843863737434,0.14265989985336952,3.489272363107635e-16,0.9183950497787046,0.7500000000000002,0.03355253551865134,0.018452311634005958,0.1333050762266339,0.03355253551865134,0.018452311634005958,0.1333050762266339
et_base_out_mm_d,SAVI_mean,3,2025-11-18,0.2437025944992426,2.01,7,0.7884165632881253,5.096512739485004,0.7770216030742109,0.18502680863406823,0.16480396523733717,3.489272363107635e-16,0.881488288676719,0.7500000000000002,-0.032875328865166864,-0.018454449467979583,-0.040090670922347194,0.032875328865166864,0.018454449467979583,0.040090670922347194
et_base_out_mm_d,SAVI_mean,7,2025-12-28,0.3594794464322255,2.83,7,0.8244040910486978,4.877266967152489,0.8246177696828934,0.1633782715309034,0.12231321501990641,2.854859206178974e-16,0.9080846709877299,0.8928571428571429,0.014720837743515625,0.00814193284303133,-0.2593364432548615,0.014720837743515625,0.00814193284303133,0.2593364432548615
et_base_out_mm_d,SAVI_mean,5,2025-12-08,0.2496477674825738,2.13,7,0.7030048963263782,5.3167321121436055,0.8011664514544912,0.1822518942525851,0.1520441851113415,6.344131569286608e-17,0.8950790196706051,0.7500000000000002,-0.00873048048488656,-0.0048637184740935036,0.18012870173625473,0.00873048048488656,0.0048637184740935036,0.18012870173625473
