date,year,month,day,year_month,doy,iso_year,iso_week,week_id,is_valid_day_analysis,is_valid_satellite_obs,has_satellite_obs,is_merge_ready,pct_day_records,et_base_out_mm_d,temp_out_mean,rh_out_mean,rad_out_mean,vpd_out_mean,et_base_out_mm_d_w1_mean,et_base_out_mm_d_w3_mean,et_base_out_mm_d_w5_mean,et_base_out_mm_d_w7_mean,et_base_out_mm_d_w1_sum,et_base_out_mm_d_w3_sum,et_base_out_mm_d_w5_sum,et_base_out_mm_d_w7_sum,temp_out_mean_w1_mean,temp_out_mean_w3_mean,temp_out_mean_w5_mean,temp_out_mean_w7_mean,rh_out_mean_w1_mean,rh_out_mean_w3_mean,rh_out_mean_w5_mean,rh_out_mean_w7_mean,rad_out_mean_w1_mean,rad_out_mean_w3_mean,rad_out_mean_w5_mean,rad_out_mean_w7_mean,vpd_out_mean_w1_mean,vpd_out_mean_w3_mean,vpd_out_mean_w5_mean,vpd_out_mean_w7_mean,image_id,datetime_utc,sensor_label,spacecraft_id,wrs_path,wrs_row,valid_pixel_pct,selected_from_duplicates,n_obs_same_date,LST_C_mean,LST_C_median,LST_C_stdDev,LST_C_mean_minus_median,LST_C_cv_pct,LST_K_mean,LST_K_median,LST_K_stdDev,lst_minus_ta_mean_c,lst_median_minus_ta_mean_c,et_lst_ratio,et_lst_median_ratio
2025-11-23,2025,11,23,2025-11,327,2025,47,2025-W47,True,True,True,True,98.26388888888889,2.25,15.894699646643108,74.71378091872792,133.95296819787987,0.517243816254417,2.25,2.07,1.8940000000000001,1.9385714285714286,2.25,6.21,9.47,13.57,15.894699646643108,14.902515715304952,14.635770731367703,14.87859897183222,74.71378091872792,78.58273490634143,77.63979884992642,77.38794197817394,133.95296819787987,126.44334667392802,110.77216969589911,115.15604021745658,0.517243816254417,0.43679935492314376,0.4390167749698932,0.4496289697614788,2_LC09_008057_20251123,2025-11-23 15:13:04,Landsat-9,LANDSAT_9,8.0,57.0,98.06985294117644,False,1.0,30.88294139110556,31.020204004864,1.280029605122157,-0.1372626137584376,4.1447787919929535,304.0329413911054,304.17217070367843,1.28002960514878,14.988241744462453,15.12550435822089,0.07285575462212972,0.07253337210958373
2025-12-17,2025,12,17,2025-12,351,2025,51,2025-W51,True,True,True,True,97.56944444444444,2.07,14.823843416370106,80.54804270462634,129.1570106761566,0.3835943060498221,2.07,2.1566666666666667,2.1399999999999997,2.1271428571428572,2.07,6.470000000000001,10.7,14.89,14.823843416370106,15.036748740915153,14.753188359943213,14.930094301367888,80.54804270462634,76.91354594640852,74.98302996468229,74.14180208744912,129.1570106761566,132.60057032452377,132.1023916387469,127.97180388683128,0.3835943060498221,0.44850967577293055,0.48551811087517427,0.501436477586895,1_LC08_008057_20251217,2025-12-17 15:12:59,Landsat-8,LANDSAT_8,8.0,57.0,93.65808823529407,False,1.0,28.632518567189027,28.86100875055212,1.4151507354964807,-0.2284901833630925,4.942459854433308,301.7825185671892,302.01500341091014,1.4151507354702264,13.808675150818921,14.037165334182014,0.07229542155512939,0.07172306477196158
