target,family,predictor,n,intercept,slope,r2,rmse,mae,bias,pearson_r,spearman_rho,interpretation_note
et_base_out_mm_d,station_vs_satellite,SAVI_mean,8,0.7730450279364329,5.136603410407351,0.8098969319393777,0.17318634924053536,0.14606063682951087,2.220446049250313e-16,0.8999427381446986,0.8333333333333335,relacion relativamente fuerte
et_base_out_mm_d_w5_mean,station_vs_satellite,NDVI_mean,8,1.374513441008821,1.5622839298106865,0.5524172835301971,0.12108593118293594,0.10477554161849661,-2.220446049250313e-16,0.743247794164367,0.7142857142857144,relacion relativamente fuerte
et_base_out_mm_d_w5_sum,station_vs_satellite,NDVI_mean,8,6.872567205044105,7.8114196490534304,0.5524172835301968,0.6054296559146799,0.5238777080924835,-8.881784197001252e-16,0.7432477941643667,0.7142857142857144,relacion relativamente fuerte
et_base_out_mm_d_w3_sum,station_vs_satellite,NDVI_mean,8,4.786175171786587,3.892401844168209,0.5111874685074989,0.327739986448336,0.2855197866732284,-6.661338147750939e-16,0.7149737537193226,0.7619047619047621,relacion relativamente fuerte
et_base_out_mm_d_w3_mean,station_vs_satellite,NDVI_mean,8,1.5953917239288633,1.297467281389402,0.5111874685074977,0.10924666214944548,0.0951732622244097,2.220446049250313e-16,0.714973753719322,0.7619047619047621,relacion relativamente fuerte
et_base_out_mm_d_w7_mean,station_vs_satellite,NDVI_mean,8,1.5890589802064894,1.0432973470160212,0.36821405055324075,0.11767212651712616,0.10024710819257182,3.885780586188048e-16,0.6068064358205516,0.4761904761904762,relacion moderada
et_base_out_mm_d_w7_sum,station_vs_satellite,NDVI_mean,8,11.123412861445425,7.303081429112146,0.36821405055324063,0.8237048856198836,0.7017297573480028,8.881784197001252e-16,0.6068064358205512,0.4761904761904762,relacion moderada
