date,datetime_first,datetime_last,n_records,pct_day_records,temp_in_mean,temp_in_min,temp_in_max,temp_out_mean,temp_out_min,temp_out_max,rh_in_mean,rh_in_min,rh_in_max,rh_out_mean,rh_out_min,rh_out_max,rad_in_mean,rad_in_max,rad_out_mean,rad_out_max,par_in_mean,par_out_mean,dli_in_max,dli_out_max,vpd_in_mean,vpd_in_max,vpd_out_mean,vpd_out_max,dewpoint_in_mean,dewpoint_out_mean,et_in_daily_max,et_out_daily_max,rad_acc_in_daily_max,rad_acc_out_daily_max,et_in_daily_last,et_out_daily_last,et_in_daily,et_out_daily,is_valid_day,et_in_last_minus_max,et_out_last_minus_max
2025-07-30,2025-07-30 13:09:00,2025-07-30 20:40:00,44,15.277777777777779,22.53181818181818,10.8,30.7,17.452272727272728,13.0,20.6,48.36363636363637,33,81,54.11363636363637,45,69,45.06181818181818,168.87,353.03818181818184,1432.37,120.35477272727272,793.4502272727273,1.59,10.47,1.5402272727272726,2.96,0.9288636363636363,1.33,10.624772727272727,7.999318181818182,5.77,2.42,59.48,466.01,5.77,1.98,5.77,2.42,False,0.0,-0.43999999999999995
2025-07-31,2025-07-31 16:45:00,2025-07-31 23:55:00,82,28.47222222222222,14.66219512195122,11.6,22.2,15.168292682926829,12.3,22.9,71.5,49,82,73.01219512195122,51,85,1.4510975609756096,13.54,5.125121951219512,47.08,3.8756097560975613,13.688780487804879,0.1,0.34,0.5039024390243902,1.36,0.49817073170731707,1.37,9.438292682926829,10.205731707317073,3.79,0.0,3.57,12.61,3.79,0.0,3.79,0.0,False,0.0,0.0
2025-08-01,2025-08-01 00:00:00,2025-08-01 20:41:00,239,82.98611111111111,17.185355648535566,10.2,28.3,17.22845188284519,10.7,28.2,68.00836820083683,39,91,69.31380753138075,38,94,20.37460251046025,102.33,36.502552301255236,208.37,54.41832635983263,97.49410041841004,3.9,6.99,0.7699163179916317,2.35,0.7417573221757322,2.33,10.64581589958159,10.983514644351464,5.3,0.92,146.09,261.72,5.3,0.92,5.3,0.92,True,0.0,0.0
2025-08-04,2025-08-04 08:26:00,2025-08-04 23:56:00,181,62.84722222222222,18.00939226519337,9.0,28.2,17.024309392265195,7.8,27.8,60.651933701657455,36,90,60.29834254143646,36,86,155.7193370165746,690.09,41.5414364640884,315.02,415.9089502762431,110.95243093922652,22.58,6.02,0.9737016574585636,2.23,0.9137569060773479,2.39,9.706906077348066,8.762044198895028,5.38,0.0,845.56,225.57,5.38,0.0,5.38,0.0,False,0.0,0.0
2025-08-05,2025-08-05 00:01:00,2025-08-05 23:56:00,277,96.18055555555556,15.058844765342961,6.0,28.7,14.444404332129963,5.3,27.6,66.37545126353791,27,94,64.79783393501805,30,92,81.94761732851987,537.7,26.791949458483753,328.9,218.87274368231047,71.5581227436823,18.19,5.95,0.794043321299639,2.83,0.798014440433213,2.58,7.786642599277979,6.81826714801444,5.66,0.0,680.98,222.64,5.66,0.0,5.66,0.0,True,0.0,0.0
2025-08-06,2025-08-06 00:01:00,2025-08-06 23:55:00,277,96.18055555555556,17.302888086642596,9.1,32.7,14.813718411552346,8.4,22.2,67.58483754512635,29,92,70.08664259927798,43,91,100.05205776173284,745.39,134.92880866425992,1068.91,267.2275812274368,323.95927797833934,22.21,26.92,0.867653429602888,3.37,0.5769675090252707,1.53,10.308303249097474,9.022202166064982,6.35,2.1,831.43,1121.26,6.35,2.06,6.35,2.1,True,0.0,-0.040000000000000036
2025-08-07,2025-08-07 00:06:00,2025-08-07 23:56:00,237,82.29166666666666,15.51983122362869,12.8,21.7,13.40928270042194,11.4,16.5,80.23628691983123,57,92,83.12658227848101,69,93,45.050000000000004,254.63,59.890168776371304,330.72,120.32345991561182,159.95962025316456,8.55,11.37,0.3850210970464135,1.09,0.2687763713080169,0.58,11.978776371308015,10.547088607594937,3.54,1.2,320.31,425.82,3.54,1.14,3.54,1.2,True,0.0,-0.06000000000000005
2025-08-08,2025-08-08 00:01:00,2025-08-08 23:56:00,270,93.75,16.663703703703703,12.2,26.2,13.687407407407408,11.3,19.2,78.37037037037037,48,95,83.99259259259259,65,94,62.55825925925926,540.58,93.57062962962962,923.36,167.08603703703704,244.4849259259259,13.53,19.8,0.5062592592592593,1.76,0.27011111111111114,0.78,12.509555555555556,10.930296296296296,4.68,1.53,506.72,757.92,4.68,1.51,4.68,1.53,True,0.0,-0.020000000000000018
2025-08-09,2025-08-09 00:01:00,2025-08-09 23:55:00,280,97.22222222222221,16.27357142857143,12.2,28.3,13.94,11.3,20.2,77.325,37,94,79.3,51,93,66.96321428571429,487.59,99.34532142857142,780.76,178.85107142857143,265.0353928571429,15.02,22.26,0.5583214285714286,2.32,0.36592857142857144,1.11,11.685321428571427,10.19675,5.18,1.67,562.49,834.5,5.18,1.65,5.18,1.67,True,0.0,-0.020000000000000018
2025-08-10,2025-08-10 00:00:00,2025-08-10 23:56:00,188,65.27777777777779,20.01276595744681,11.1,32.0,16.04840425531915,10.9,21.6,61.07446808510638,28,93,66.78191489361703,45,92,156.70234042553193,823.9,230.13478723404253,1196.03,415.2061170212766,575.9377127659574,23.42,32.48,1.1854787234042554,3.42,0.6635106382978723,1.42,11.139361702127658,9.534734042553191,6.1,2.4,883.8,1297.96,6.1,2.37,6.1,2.4,False,0.0,-0.029999999999999805
2025-08-11,2025-08-11 00:01:00,2025-08-11 23:56:00,168,58.333333333333336,15.732142857142858,10.0,30.4,14.388690476190478,10.4,21.5,69.51190476190476,31,90,67.94047619047619,49,78,93.47142857142856,806.94,138.4577380952381,1086.28,248.14666666666668,328.17375000000004,12.51,16.54,0.7079166666666667,2.89,0.5571428571428572,1.27,9.51172619047619,8.408988095238096,5.83,1.76,471.1,697.83,5.83,1.7,5.83,1.76,False,0.0,-0.06000000000000005
