date,datetime_utc,image_id,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,candidate_rank
2025-07-31,2025-07-31 15:32:02,20250731T152711_20250731T152713_T18NXL,62.48796,86.12974931050094,True,0.5182299531465145,0.5740173111609218,0.2732050533280142,0.4321201852866444,0.4258417090899057,0.2600600728418228,0.3717106176043467,0.3807059622390853,0.2219199581396469,0.3372219075624669,0.3550883926438803,0.1976404736988932,1
2025-07-31,2025-07-31 15:32:06,20250731T152711_20250731T152713_T18NWL,41.5245,81.15547688634584,True,0.5152858691123312,0.5739833415806318,0.2668057367378743,0.4362821764212674,0.4341597586267889,0.25404556239347,0.371258794111671,0.3886733127039964,0.2149256522507943,0.3383503434147901,0.3556875629268715,0.1939164597222147,2
2025-08-05,2025-08-05 15:31:42,20250805T152659_20250805T152653_T18NXL,37.29845,0.0,False,,,,,,,,,,,,,1
2025-08-05,2025-08-05 15:31:46,20250805T152659_20250805T152653_T18NWL,49.813166,0.0,False,,,,,,,,,,,,,2
2025-08-20,2025-08-20 15:32:01,20250820T152711_20250820T152849_T18NXL,61.24866,98.8325855184621,True,0.5333904653725057,0.5972335369926802,0.2886833929512957,0.4189991829340305,0.4103973826107463,0.2552577422314706,0.3650563771031698,0.3657250208415837,0.2201445823225901,0.3526595492139874,0.3793103880477582,0.2127734820062706,1
2025-08-20,2025-08-20 15:32:04,20250820T152711_20250820T152849_T18NWL,26.000294,93.78586424072776,True,0.5153622877838062,0.5746447908470174,0.280878442027677,0.4148247115924133,0.4104790664246466,0.2511202509064628,0.3559963673419515,0.3576159270668713,0.2142184795346003,0.3428059493646334,0.3633394116026156,0.2090140985834046,2
2025-08-22,2025-08-22 15:31:59,20250822T152711_20250822T152706_T18NWL,60.908741,0.0,False,,,,,,,,,,,,,1
2025-08-22,2025-08-22 15:31:55,20250822T152711_20250822T152706_T18NXL,67.134255,0.0,False,,,,,,,,,,,,,2
2025-08-30,2025-08-30 15:32:03,20250830T152711_20250830T152711_T18NWL,46.928525,98.8325855184621,True,0.4841697489277772,0.5297062954027393,0.2592232128275711,0.4327865799775884,0.4334070231232479,0.2540952295365466,0.3558338650016632,0.3652760526966217,0.2103805566656389,0.3191742741528691,0.331803996051868,0.1925451573733371,1
2025-08-30,2025-08-30 15:32:00,20250830T152711_20250830T152711_T18NXL,54.006654,98.8325855184621,True,0.4777247359682862,0.5211481473666053,0.253995492561446,0.4354025601156422,0.4328042242126502,0.2536117826851184,0.3518850885278873,0.3615523333868087,0.2064845489193993,0.3153035168442577,0.3250217187344904,0.1894076676979544,2
