family,target,predictor,n,intercept,slope,r2,rmse,mae,bias,pearson_r,spearman_rho
station_vs_satellite,et_base_out_mm_d,SAVI_mean,8,0.7730450279364329,5.136603410407351,0.8098969319393777,0.17318634924053536,0.14606063682951087,2.220446049250313e-16,0.8999427381446986,0.8333333333333335
station_vs_satellite,et_base_out_mm_d,NDVI_mean,8,0.5631539761366926,4.012709040808705,0.7566561096134441,0.19594280365897304,0.15213831394077404,0.0,0.869859821818116,0.7142857142857144
station_vs_satellite,et_base_out_mm_d,NDRE_mean,8,0.8366548517482142,4.986032993550441,0.7102831484122081,0.21379914934176864,0.15367747984122124,1.3877787807814457e-16,0.8427829782406667,0.7380952380952381
station_vs_satellite,et_base_out_mm_d,EVI_mean,8,0.7558451575822269,4.222071561595777,0.6572562568152733,0.23254331656912924,0.19743648522408397,1.1102230246251565e-16,0.8107134245929776,0.8571428571428572
station_vs_satellite,et_base_out_mm_d_w3_mean,NDVI_mean,8,1.5953917239288633,1.297467281389402,0.5111874685074977,0.10924666214944548,0.0951732622244097,2.220446049250313e-16,0.714973753719322,0.7619047619047621
station_vs_satellite,et_base_out_mm_d_w3_mean,NDRE_mean,8,1.7480766741673353,1.4092097809898778,0.36663732825943796,0.12435499748626928,0.0998075053697568,1.1102230246251565e-16,0.6055058449424235,0.6904761904761906
station_vs_satellite,et_base_out_mm_d_w3_mean,SAVI_mean,8,1.766414850122614,1.338155721107715,0.3551854438332386,0.12547419771352286,0.09352737378527687,1.1102230246251565e-16,0.5959743650806116,0.7619047619047621
station_vs_satellite,et_base_out_mm_d_w3_mean,EVI_mean,8,1.8860687087863202,0.7840206308030669,0.146454492237012,0.144361156160318,0.11717121042258849,3.3306690738754696e-16,0.382693731640606,0.6428571428571429
station_vs_satellite,et_base_out_mm_d_w3_sum,NDVI_mean,8,4.786175171786587,3.892401844168209,0.5111874685074989,0.327739986448336,0.2855197866732284,-6.661338147750939e-16,0.7149737537193226,0.7619047619047621
station_vs_satellite,et_base_out_mm_d_w3_sum,NDRE_mean,8,5.244230022502005,4.227629342969635,0.3666373282594385,0.37306499245880775,0.29942251610927006,-2.220446049250313e-16,0.6055058449424238,0.6904761904761906
station_vs_satellite,et_base_out_mm_d_w3_sum,SAVI_mean,8,5.29924455036784,4.014467163323149,0.35518544383323836,0.37642259314056864,0.28058212135583027,-3.3306690738754696e-16,0.595974365080612,0.7619047619047621
station_vs_satellite,et_base_out_mm_d_w3_sum,EVI_mean,8,5.658206126358959,2.3520618924092016,0.14645449223701223,0.4330834684809539,0.35151363126776525,-5.551115123125783e-16,0.3826937316406061,0.6428571428571429
station_vs_satellite,et_base_out_mm_d_w5_mean,NDVI_mean,8,1.374513441008821,1.5622839298106865,0.5524172835301971,0.12108593118293594,0.10477554161849661,-2.220446049250313e-16,0.743247794164367,0.7142857142857144
station_vs_satellite,et_base_out_mm_d_w5_mean,NDRE_mean,8,1.5059512948609977,1.8623995508104667,0.47729958444572673,0.13085293094777437,0.11796414229756011,-2.7755575615628914e-17,0.6908687172290598,0.6428571428571429
station_vs_satellite,et_base_out_mm_d_w5_mean,SAVI_mean,8,1.6065583910949373,1.5295785685495467,0.34589587811996525,0.14637957268183197,0.11897730802869619,-2.7755575615628914e-17,0.5881291338812975,0.523809523809524
station_vs_satellite,et_base_out_mm_d_w5_mean,EVI_mean,8,1.7821602578482272,0.7973594631643415,0.11290572904520246,0.17046762846467228,0.1275540359022668,-1.3877787807814457e-16,0.3360144774339384,0.5476190476190477
station_vs_satellite,et_base_out_mm_d_w5_sum,NDVI_mean,8,6.872567205044105,7.8114196490534304,0.5524172835301968,0.6054296559146799,0.5238777080924835,-8.881784197001252e-16,0.7432477941643667,0.7142857142857144
station_vs_satellite,et_base_out_mm_d_w5_sum,NDRE_mean,8,7.529756474304989,9.31199775405233,0.47729958444572695,0.6542646547388717,0.5898207114878,-6.661338147750939e-16,0.6908687172290597,0.6428571428571429
station_vs_satellite,et_base_out_mm_d_w5_sum,SAVI_mean,8,8.032791955474687,7.64789284274773,0.3458958781199648,0.73189786340916,0.5948865401434811,2.220446049250313e-16,0.5881291338812973,0.523809523809524
station_vs_satellite,et_base_out_mm_d_w5_sum,EVI_mean,8,8.910801289241137,3.9867973158217036,0.1129057290452028,0.8523381423233611,0.637770179511334,-4.440892098500626e-16,0.3360144774339381,0.5476190476190477
station_vs_satellite,et_base_out_mm_d_w7_mean,NDVI_mean,8,1.5890589802064894,1.0432973470160212,0.36821405055324075,0.11767212651712616,0.10024710819257182,3.885780586188048e-16,0.6068064358205516,0.4761904761904762
station_vs_satellite,et_base_out_mm_d_w7_mean,NDRE_mean,8,1.7540526125417664,0.9997782734304553,0.20558411408423305,0.13195096793477432,0.1178211965944872,2.220446049250313e-16,0.45341384416913594,0.19047619047619052
station_vs_satellite,et_base_out_mm_d_w7_mean,SAVI_mean,8,1.8017808056161755,0.8407583666564916,0.15619999876396218,0.13599044068219257,0.11755082989916749,1.6653345369377348e-16,0.39522145534366215,0.261904761904762
station_vs_satellite,et_base_out_mm_d_w7_mean,EVI_mean,8,2.012106447774062,0.14868566706182762,0.00586790005957738,0.14760826273102626,0.1232034060932446,1.6653345369377348e-16,0.07660221967787666,0.07142857142857144
station_vs_satellite,et_base_out_mm_d_w7_sum,NDVI_mean,8,11.123412861445425,7.303081429112146,0.36821405055324063,0.8237048856198836,0.7017297573480028,8.881784197001252e-16,0.6068064358205512,0.4761904761904762
station_vs_satellite,et_base_out_mm_d_w7_sum,NDRE_mean,8,12.278368287792366,6.998447914013185,0.20558411408423283,0.9236567755434207,0.8247483761614105,2.6645352591003757e-15,0.45341384416913555,0.19047619047619052
station_vs_satellite,et_base_out_mm_d_w7_sum,SAVI_mean,8,12.61246563931323,5.885308566595437,0.15619999876396196,0.9519330847753485,0.8228558092941727,1.3322676295501878e-15,0.3952214553436616,0.261904761904762
station_vs_satellite,et_base_out_mm_d_w7_sum,EVI_mean,8,14.084745134418437,1.040799669432787,0.005867900059577491,1.0332578391171843,0.8624238426527122,1.3322676295501878e-15,0.07660221967787618,0.07142857142857144
