metric,n_boot_valid,mean,std,median,p02_5,p05,p25,p75,p95,p97_5
intercept,5000,0.7823146196169686,0.38382764084263055,0.7817391235672864,0.31415461809573103,0.4198531524795919,0.6724035755581734,0.893569232232915,1.1021018672608627,1.1931700415575128
slope,5000,5.12617145498145,1.1720587931707487,5.064306053992337,3.6556755162591608,3.979714191048983,4.673857709649014,5.518152825142019,6.505474224414903,6.950286096359603
r2,5000,0.7961421361523756,0.13996858291717765,0.8238220945992453,0.4298660913051884,0.5367104904889559,0.7424247529815733,0.8872244667439836,0.9574500852814174,0.9832962297280331
rmse,5000,0.15110297167606135,0.041253213064441525,0.1580139224907099,0.04075146022007807,0.06677281528391323,0.13285069679478628,0.17971760550401558,0.20563151081751904,0.21253549308087882
mae,5000,0.12354709116827503,0.03923796126316875,0.1242162882203526,0.03534322211653972,0.05492974440684685,0.09776690416043321,0.15227496843579572,0.18373232351409258,0.1941375963762131
bias,5000,2.7894353493707055e-17,2.49482846649495e-16,2.7755575615628914e-17,-4.440892098500626e-16,-3.608224830031759e-16,-1.3877787807814457e-16,2.220446049250313e-16,4.440892098500626e-16,5.273559366969494e-16
pearson_r,5000,0.8871274032632864,0.09565007223718026,0.90761055449772,0.6505049366486438,0.7324654351233267,0.861627913207877,0.9419259344232016,0.9784937835029534,0.9916129432219775
spearman_rho,5000,0.7928545055320823,0.2326803272721844,0.8518518518518517,0.2098765432098765,0.3164556962025317,0.6867469879518071,0.9746835443037977,1.0,1.0
